name,ra,dec,gal_l,gal_b,W1mag,W2mag,Gmag,BPmag,RPmag,log(fx),P_QSO,z_phot
2CXO J181303.9-573713,273.2661474,-57.62056668,336.613432,-17.797792,15.492,14.574,19.04394053,19.18510719,18.70244619,-13.26039665,0.780487805,2.2273543980954233
2CXO J181346.1-613041,273.4419935,-61.5116317,332.847158,-19.348289,16.042,14.839,19.89463608,20.05109048,19.53122204,-13.40229685,0.804878049,1.3272002681765824
2CXO J181347.3+182042,273.4471026,18.34518362,45.533353,16.359757,16.533,15.484,20.4815757,20.72959359,20.00585926,-13.73631361,0.829268293,1.2215836294161708
2CXO J181358.9+184810,273.495709,18.80285856,45.989503,16.501757,15.91,14.738,20.44651109,20.43355398,19.76694246,-14.22652085,0.975609756,0.8740594385785321
2CXO J181709.4+273116,274.2892408,27.5212698,54.744985,19.166801,14.031,13.251,19.19626312,19.02473755,18.15729014,-12.6880413,0.853658537,0.8769060993689408
2CXO J181724.7-360844,274.3530464,-36.14581968,356.97059,-9.360791,14.005,12.863,18.73054083,,,-13.60277922,0.634146341,1.5755883752871969
2CXO J181815.3+142130,274.563972,14.35856584,42.231498,13.737522,16.03,15.069,19.9076639,20.05168454,19.77902812,-13.46794682,0.804878049,1.3907548405974692
2CXO J181858.3+142709,274.7431002,14.45254761,42.394544,13.619894,15.808,14.708,19.74613386,19.87272103,19.3593606,-13.68772805,0.902439024,1.1903492584958888
2CXO J181916.0+142409,274.8169222,14.40263861,42.379056,13.534012,16.849,15.83,20.33110453,20.5063389,20.05134608,-13.59711552,0.756097561,1.3495416230107495
2CXO J182042.7+070609,275.1782961,7.102649104,35.817228,10.045188,14.994,14.515,18.47242081,,,-12.88999979,0.585365854,2.0847053148319943
2CXO J182507.3+302434,276.2806017,30.40954886,58.256646,18.587219,16.205,16.335,20.45144849,20.88325821,19.06377278,-14.08593029,0.634146341,4.139919667879282
2CXO J182516.1+302054,276.3172221,30.34840499,58.208511,18.535698,15.707,14.663,19.42126114,19.4599479,18.80717761,-13.72967347,0.975609756,1.5114948538765218
